model	test_family	test_circuit	candidate_rows	measured_feasible_candidate_rows	mae_cycles	rmse_cycles	oracle_uid	oracle_scheme	oracle_cycles	single_baseline_cycles	single_baseline_scheme	safe_anchor_uid	safe_anchor_scheme	selection_action	selection_reason	selected_action_uid	predicted_best_uid	predicted_best_scheme	predicted_best_actual_cycles	predicted_best_feasible_probability	feasibility_gate_fallback	feasibility_gate_kind	feasibility_gate_identifiable	feasibility_gate_train_rows	feasibility_gate_train_negative_rows	predicted_best_detected_faults	d95	d95_feasible	unsafe_combo_selection	beats_single_baseline	oracle_can_beat_single	opportunity_captured	saved_cycles_vs_single	gain_vs_single_percent	fallback_gain_vs_single_percent	regret_percent	exact_candidate	correct_scheme	validation_family	best_validation_loss
xgboost_scalar	iscas89_s13207	s13207	667	667	11698.686615595037	11712.856156847572	fixed:3a262e8013a897f919cb3c3c	H64-M16-F4	3220	9983	FullScan-F4	fixed:aae71c42f273f42c853b3ab9	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:24aab4e5a6db989c72ccd12f	fixed:24aab4e5a6db989c72ccd12f	H64-M16-F4	4193	0.9998996257781982	0	xgboost_classifier	1	10500	1	13150	13120	1	0	1	1	1	5790	57.99859761594711	57.99859761594711	30.217391304347824	0	1		
xgboost_scalar	iscas89_s15850	s15850	730	730	1018.8419605316365	1274.7975601784517	fixed:76e2985684609b62055c18ea	H64-M16-F4	2558	7021	FullScan-F4	fixed:bf42094d01c9de062d3eb684	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:a5484c5468f777a2f8faf443	fixed:a5484c5468f777a2f8faf443	H64-F4	3678	0.9994468092918396	0	xgboost_classifier	1	10437	1	15287	15267	1	0	1	1	1	3343	47.614299957271044	47.614299957271044	43.78420641125879	0	0		
xgboost_scalar	iscas89_s35932	s35932	426	426	6465.184835903102	6837.0055160405345	fixed:a77e37ce83c811088324a1ca	H64-F4	1505	1505	ComScan-H64	fixed:8f84fd3c98f7a5408dcfbdbb	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:7cec5b2df8ad1238d2182606	fixed:7cec5b2df8ad1238d2182606	H64-M16-F4	2805	0.9998992681503296	0	xgboost_classifier	1	10741	1	42279	41236	1	0	0	0	0	-1300	-86.37873754152824	0.0	86.37873754152824	0	0		
xgboost_scalar	iscas89_s38417	s38417	720	720	5282.807114891211	5458.277270169114	fixed:84bc635c1eeafd8d8245b030	H64-M16-F4	4892	5709	ComScan-H64	fixed:17e8570041a1a8d8319f0b8c	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:5090902d0588b2802bfbf4a7	fixed:5090902d0588b2802bfbf4a7	H64-M16-F4	6748	0.9998996257781982	0	xgboost_classifier	1	10447	1	41235	40421	1	0	0	1	0	-1039	-18.199334384305484	0.0	37.93949304987735	0	1		
xgboost_scalar	iscas89_s38584	s38584	721	721	2285.5540845832284	2844.4456462445582	fixed:7140c3e7d7e9ca3300b1517c	H64-M16-F4	5436	6060	ComScan-H64	fixed:84c3c7bc71b28085819605ae	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:fb3db5c6523099b4fcdb716a	fixed:fb3db5c6523099b4fcdb716a	H64-M16-F4	6368	0.9998995065689087	0	xgboost_classifier	1	10446	1	52952	52938	1	0	0	1	0	-308	-5.082508250825082	0.0	17.14495952906549	0	1		
xgboost_scalar	iscas89_s5378	s5378	703	703	256.353014127713	336.26281198118585	fixed:52a53ce2857438dcfa16e702	H64-M16-F4	1905	2915	FullScan-F4	fixed:e7c1edb976b7c482efeabc6d	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:c9f809d223ec6e558464a7b1	fixed:c9f809d223ec6e558464a7b1	H64-M16-F4	2232	0.9998996257781982	0	xgboost_classifier	1	10464	1	5546	5543	1	0	1	1	1	683	23.430531732418526	23.430531732418526	17.165354330708663	0	1		
xgboost_scalar	iscas89_s9234	s9234	736	736	747.9772460920656	798.5219844825258	fixed:f4525b035e88d7ea4a71262a	H64-M16-F4	2744	4126	FullScan-F4	fixed:0509ce7b4f947ed973c3afef	FullScan-F4	candidate	MODEL_CANDIDATE	fixed:e00b391959ce8e2f8b4b84ee	fixed:e00b391959ce8e2f8b4b84ee	H64-M16-F4	2940	0.9998992681503296	0	xgboost_classifier	1	10431	1	7186	7171	1	0	1	1	1	1186	28.74454677653902	28.74454677653902	7.142857142857142	0	1		
xgboost_scalar	itc99_b14_connected	b18	757	757	10713.2011040109	16381.145057039459	fixed:e1e452af59b3939dca863bf9	H64-M16-F4	26353	28673	ComScan-H64	fixed:dfe7138bca9da93eea039dd3	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:dfe7138bca9da93eea039dd3		FullScan-F4	399111		1	unidentifiable_single_class	0	7794	0	233760	230387	1	0	0	1	0	0	0.0	0.0	1414.4803248207036	0	0		
xgboost_scalar	itc99_b14_connected	b20	837	837	3660.740116327449	4467.113800029537	fixed:a756b897ff3f2b333c89ebc4	H64-M16-F4	6805	17427	FullScan-F4	fixed:80efcdf332a6a67ed5de9b04	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:80efcdf332a6a67ed5de9b04		FullScan-F4	46065		1	unidentifiable_single_class	0	7794	0	45242	44063	1	0	0	1	0	0	0.0	0.0	576.9287288758266	0	0		
xgboost_scalar	itc99_b14_connected	b21	900	899	4472.419826582654	5148.9573352481575	fixed:be7247d28bd3c354a159b9ad	H64-M16-F4	8173	20979	FullScan-F4	fixed:d96a4634cea9802d8b933dee	FullScan-F4	single_baseline	ABSTAIN_SINGLE_CLASS	fixed:d96a4634cea9802d8b933dee		FullScan-F4	50172		1	unidentifiable_single_class	0	7794	0	46573	45513	1	0	0	1	0	0	0.0	0.0	513.8749541172152	0	0		
